step,loss,learning_rate
0,4.2206,8.92857142857143e-06
1,4.3286,1.785714285714286e-05
2,4.2574,2.6785714285714288e-05
3,4.2708,3.571428571428572e-05
4,4.2216,4.464285714285715e-05
5,4.2852,5.3571428571428575e-05
6,4.2987,6.25e-05
7,4.2689,7.142857142857143e-05
8,4.3534,8.035714285714287e-05
9,4.3086,8.92857142857143e-05
10,4.2833,9.821428571428572e-05
11,4.2443,9.999641923388744e-05
12,4.3008,9.998187325055106e-05
13,4.268,9.995614150494293e-05
14,4.2781,9.991922975573453e-05
15,4.3059,9.987114626364171e-05
16,4.2716,9.98119017895759e-05
17,4.2465,9.974150959223591e-05
18,4.3232,9.965998542514066e-05
19,4.2958,9.956734753310354e-05
20,4.2105,9.946361664814943e-05
21,4.2981,9.934881598487479e-05
22,4.2428,9.922297123525244e-05
23,4.2891,9.90861105628817e-05
24,4.3083,9.893826459668558e-05
25,4.2937,9.877946642405598e-05
26,4.3116,9.860975158344902e-05
27,4.18,9.842915805643155e-05
28,4.2774,9.82377262591811e-05
29,4.2534,9.80354990334408e-05
30,4.2871,9.782252163693158e-05
31,4.363,9.759884173322369e-05
32,4.2732,9.736450938106975e-05
33,4.2484,9.711957702320175e-05
34,4.3095,9.686409947459458e-05
35,4.2987,9.659813391019867e-05
36,4.2316,9.632173985214438e-05
37,4.2794,9.603497915642121e-05
38,4.2898,9.573791599903463e-05
39,4.2762,9.543061686164373e-05
40,4.282,9.511315051668287e-05
41,4.2998,9.478558801197065e-05
42,4.2589,9.444800265480967e-05
43,4.2654,9.410046999558062e-05
44,4.2759,9.374306781083437e-05
45,4.3026,9.337587608588588e-05
46,4.2273,9.299897699691377e-05
47,4.3271,9.261245489256955e-05
48,4.2953,9.221639627510076e-05
49,4.2776,9.181088978099204e-05
50,4.2865,9.139602616112863e-05
51,4.2819,9.09718982604866e-05
52,4.2937,9.053860099735455e-05
53,4.2092,9.00962313420912e-05
54,4.3446,8.964488829542377e-05
55,4.2216,8.9184672866292e-05
56,4.3194,8.871568804924268e-05
57,4.3259,8.823803880137993e-05
58,4.2654,8.775183201887602e-05
59,4.2226,8.725717651304857e-05
60,4.3361,8.675418298600884e-05
61,4.3188,8.62429640058871e-05
62,4.2977,8.572363398164017e-05
63,4.3403,8.519630913744725e-05
64,4.2764,8.466110748669925e-05
65,4.3518,8.41181488055879e-05
66,4.2777,8.35675546063002e-05
67,4.2356,8.300944810982452e-05
68,4.2052,8.244395421837413e-05
69,4.2759,8.18711994874345e-05
70,4.3312,8.129131209744074e-05
71,4.2745,8.070442182509126e-05
72,4.2682,8.011066001430412e-05
73,4.2802,7.951015954682282e-05
74,4.2776,7.890305481247787e-05
75,4.3212,7.828948167911074e-05
76,4.2702,7.766957746216721e-05
77,4.3413,7.704348089396666e-05
78,4.2783,7.641133209265424e-05
79,4.2444,7.577327253084293e-05
80,4.2611,7.512944500395254e-05
81,4.3123,7.447999359825263e-05
82,4.2372,7.382506365861639e-05
83,4.2887,7.316480175599309e-05
84,4.2479,7.249935565460607e-05
85,4.3791,7.18288742788835e-05
86,4.255,7.115350768012979e-05
87,4.259,7.047340700294453e-05
88,4.2508,6.978872445139695e-05
89,4.2034,6.909961325496312e-05
90,4.2626,6.840622763423391e-05
91,4.27,6.770872276640075e-05
92,4.295,6.700725475052772e-05
93,4.2477,6.63019805726171e-05
94,4.2835,6.55930580704764e-05
95,4.2673,6.488064589839494e-05
96,4.3247,6.416490349163748e-05
97,4.2554,6.344599103076329e-05
98,4.3027,6.272406940577826e-05
99,4.3224,6.19993001801283e-05
100,4.3372,6.127184555454206e-05
101,4.341,6.0541868330730956e-05
102,4.2375,5.980953187495476e-05
103,4.2742,5.907500008146082e-05
104,4.2833,5.833843733580512e-05
105,4.3328,5.760000847806337e-05
106,4.3008,5.68598787659404e-05
107,4.2768,5.6118213837786136e-05
108,4.3134,5.537517967552626e-05
109,4.2999,5.463094256751607e-05
110,4.3239,5.3885669071325826e-05
111,4.3028,5.313952597646568e-05
112,4.3893,5.239268026705878e-05
113,4.2679,5.164529908447093e-05
114,4.2545,5.0897549689904865e-05
115,4.2893,5.014959942696782e-05
116,4.2846,4.940161568422065e-05
117,4.3506,4.865376585771687e-05
118,4.3014,4.790621731354003e-05
119,4.2764,4.715913735034779e-05
120,4.2618,4.6412693161931034e-05
121,4.2051,4.566705179979665e-05
122,4.3341,4.4922380135781835e-05
123,4.2813,4.4178844824708864e-05
124,4.2909,4.3436612267088356e-05
125,4.2962,4.269584857187943e-05
126,4.267,4.195671951931509e-05
127,4.283,4.1219390523801244e-05
128,4.3919,4.048402659689757e-05
129,4.2334,3.9750792310388485e-05
130,4.3193,3.90198517594526e-05
131,4.3568,3.8291368525938806e-05
132,4.1702,3.756550564175727e-05
133,4.3462,3.6842425552393424e-05
134,4.2715,3.612229008055333e-05
135,4.2752,3.5405260389948336e-05
136,4.2773,3.469149694922712e-05
137,4.2838,3.398115949606352e-05
138,4.3108,3.3274407001407735e-05
139,4.2649,3.257139763390925e-05
140,4.3201,3.18722887245192e-05
141,4.1623,3.11772367312804e-05
142,4.2922,3.048639720431244e-05
143,4.2827,2.9799924751000243e-05
144,4.2985,2.911797300139345e-05
145,4.2796,2.8440694573824588e-05
146,4.3198,2.776824104075364e-05
147,4.2347,2.710076289484663e-05
